Date, ,High,Low,Close,Adj Close,Volume,,,,
18-02-2022,4098,4121,4056.050049,4073.100098,4073.100098,169496,,,,
21-02-2022,4048,4170,3990,4096.600098,4096.600098,480541,,,,
22-02-2022,4001,4179,3990,4157.100098,4157.100098,484781,,,,
23-02-2022,4165,4217.700195,4135,4193.450195,4193.450195,360454,,,,
24-02-2022,3993.850098,4131.950195,3947.850098,4014.649902,4014.649902,552288,,,,
25-02-2022,4080,4210,4037.649902,4190.75,4190.75,425226,,,,
28-02-2022,4155,4355,4062.100098,4340.350098,4340.350098,647569,,,,
02-03-2022,4299.950195,4446.950195,4270,4295.149902,4295.149902,479507,,,,
03-03-2022,4370,4395,4253.899902,4276.5,4276.5,303425,,,,
04-03-2022,4260.200195,4260.200195,4075.050049,4110.200195,4110.200195,437691,,,,
07-03-2022,4001,4175,3970.800049,3991.649902,3991.649902,694633,,,,
08-03-2022,4016,4160,3992.399902,4124,4124,713004,,,,
09-03-2022,4155,4172.899902,4071.100098,4096.700195,4096.700195,395071,,,,
10-03-2022,4210,4239.899902,4142.299805,4168.600098,4168.600098,439778,,,,
11-03-2022,4167,4210,4109.25,4198.950195,4198.950195,387534,,,,
14-03-2022,4190,4218,4150,4168.25,4168.25,305326,,,,
15-03-2022,4191,4251,4171.75,4231.049805,4231.049805,560819,,,,18-02-2023
16-03-2022,4229.75,4243.600098,4153,4169.549805,4169.549805,470355,,,Open,#N/A
17-03-2022,4218,4239,4166.100098,4192.75,4192.75,608024,,,High,3567.699951
21-03-2022,4217,4217,4080.600098,4095.199951,4095.199951,370641,,,Low,3515
22-03-2022,4129,4129,4031,4054,4054,396898,,,52 Week HIGH,4609
23-03-2022,4085.699951,4119,4064.600098,4091.350098,4091.350098,285639,,,52 Week Low,3186
24-03-2022,4086.25,4086.25,4031.550049,4042.850098,4042.850098,374573,,,,
25-03-2022,4069,4069,3995,4001.300049,4001.300049,440558,,,,
28-03-2022,4005.149902,4021,3975.050049,4010.050049,4010.050049,428027,,,,
29-03-2022,4010.050049,4037.800049,3985,4006.100098,4006.100098,397614,,,,
30-03-2022,4025,4084,3945,3973.399902,3973.399902,580732,,,,
31-03-2022,4028,4040,3983.050049,4003.350098,4003.350098,492437,,,,
01-04-2022,4013,4093,4000,4082.199951,4082.199951,416596,,,,
04-04-2022,4120,4150,4076.149902,4106.649902,4106.649902,438581,,,,
05-04-2022,4138.75,4148,4100,4109.700195,4109.700195,277248,,,,
06-04-2022,4090,4139.799805,4085.600098,4101.899902,4101.899902,218183,,,,
07-04-2022,4099.899902,4244,4092,4159.700195,4159.700195,979784,,,,
08-04-2022,4165,4208,4118,4146.25,4146.25,358035,,,,
11-04-2022,4136.799805,4200,4130.049805,4171.600098,4171.600098,202944,,,,
12-04-2022,4174.950195,4174.950195,4075,4088.699951,4088.699951,228548,,,,
13-04-2022,4101,4117.950195,4081.699951,4090.899902,4090.899902,157516,,,,
18-04-2022,4065,4079,4009,4056,4056,193904,,,,
19-04-2022,4089.899902,4131.899902,3975,4008.899902,4008.899902,222195,,,,
20-04-2022,4026,4065,4000,4054.800049,4054.800049,222817,,,,
21-04-2022,4075,4080,4015,4030.25,4030.25,209196,,,,
22-04-2022,4028.649902,4060.050049,3995.75,4028.850098,4028.850098,210640,,,,
25-04-2022,4000,4022.350098,3975.050049,3989.199951,3989.199951,204726,,,,
26-04-2022,4009.800049,4050,3994.399902,4044.25,4044.25,198101,,,,
27-04-2022,4006.100098,4024.350098,3960,3977.699951,3977.699951,169916,,,,
28-04-2022,4023.899902,4054,3995.550049,4024.550049,4024.550049,247751,,,,
29-04-2022,4048.899902,4085,3906,3944.25,3944.25,238651,,,,
02-05-2022,3939.600098,3997.800049,3889,3983.350098,3983.350098,265831,,,,
04-05-2022,4000,4023.949951,3850.199951,3867.149902,3867.149902,270400,,,,
05-05-2022,3920,3980,3775,3943.800049,3943.800049,457770,,,,
06-05-2022,3866,3889.649902,3602.149902,3666.199951,3666.199951,858787,,,,
09-05-2022,3655,3655,3486,3520.300049,3520.300049,732787,,,,
10-05-2022,3501,3545.25,3402.149902,3414.949951,3414.949951,696666,,,,
11-05-2022,3448,3448,3311.699951,3339.699951,3339.699951,689554,,,,
12-05-2022,3310,3334.949951,3241.25,3270.449951,3270.449951,725552,,,,
13-05-2022,3351,3357.75,3205,3230.600098,3230.600098,546754,,,,
16-05-2022,3260,3620,3186,3561.100098,3561.100098,1871384,,,,
17-05-2022,3620,3724,3473.449951,3657,3657,926148,,,,
18-05-2022,3700,3781,3650,3664.050049,3664.050049,712472,,,,
19-05-2022,3513,3649,3491.5,3614.850098,3614.850098,439658,,,,
20-05-2022,3708.899902,3717.199951,3610,3630.399902,3630.399902,334172,,,,
23-05-2022,3650,3694.5,3552.050049,3574.100098,3574.100098,258246,,,,
24-05-2022,3579.949951,3685,3571.199951,3656.75,3656.75,391193,,,,
25-05-2022,3670,3694,3555.649902,3586.449951,3586.449951,224375,,,,
26-05-2022,3586.449951,3635.699951,3465.300049,3577.449951,3577.449951,279250,,,,
27-05-2022,3605,3649,3586,3613.850098,3613.850098,199688,,,,
30-05-2022,3660,3824.899902,3645,3796.399902,3796.399902,429986,,,,
31-05-2022,3807.75,4049,3767.899902,3972.800049,3972.800049,1335568,,,,
01-06-2022,3960,4039,3812.550049,3874.050049,3874.050049,620365,,,,
02-06-2022,3885,3927.550049,3831.100098,3856.899902,3856.899902,302036,,,,
03-06-2022,3888,3888.399902,3768,3820.100098,3820.100098,349881,,,,
06-06-2022,3800,3800,3675,3734.75,3734.75,295307,,,,
07-06-2022,3704,3778.800049,3652.050049,3726.699951,3726.699951,301552,,,,
08-06-2022,3765,3771,3700,3739.399902,3739.399902,250665,,,,
09-06-2022,3729.899902,3850,3686.399902,3830.350098,3830.350098,445083,,,,
10-06-2022,3790,3838,3735.100098,3755.649902,3755.649902,235985,,,,
13-06-2022,3700,3743.600098,3644.399902,3661.600098,3661.600098,252912,,,,
14-06-2022,3628,3712.699951,3552.25,3648.300049,3648.300049,424143,,,,
15-06-2022,3669.899902,3743.949951,3645.350098,3662.899902,3662.899902,274604,,,,
16-06-2022,3736,3737.899902,3562,3682.600098,3682.600098,408563,,,,
17-06-2022,3670,3673.850098,3413.699951,3460.550049,3460.550049,1104855,,,,
20-06-2022,3493.449951,3536.699951,3460.550049,3479.100098,3479.100098,222230,,,,
21-06-2022,3520,3545,3450,3519.550049,3519.550049,340688,,,,
22-06-2022,3524.449951,3524.449951,3466.050049,3486.350098,3486.350098,197297,,,,
23-06-2022,3487.75,3502.649902,3401,3440.449951,3440.449951,355857,,,,
24-06-2022,3489.949951,3489.949951,3390.100098,3412,3412,454591,,,,
27-06-2022,3460,3460,3400,3408.600098,3408.600098,276838,,,,
28-06-2022,3407.550049,3497,3374,3479.949951,3479.949951,440886,,,,
29-06-2022,3450.449951,3527,3425,3445.25,3445.25,405633,,,,
30-06-2022,3445.199951,3469,3370,3406.100098,3406.100098,384404,,,,
01-07-2022,3394.449951,3406.649902,3331.100098,3388.75,3388.75,311228,,,,
04-07-2022,3530,3555,3460,3495.5,3495.5,766616,,,,
05-07-2022,3506,3657.649902,3506,3639.050049,3639.050049,859254,,,,
06-07-2022,3650,3830,3650,3792,3792,751853,,,,
07-07-2022,3870,3935.600098,3830,3850.949951,3850.949951,463192,,,,
08-07-2022,3868.399902,3974,3851.100098,3941.699951,3941.699951,568785,,,,
11-07-2022,4000,4087.850098,3892,3986.850098,3986.850098,2331905,,,,
12-07-2022,3986.5,3986.850098,3855,3878.399902,3878.399902,569128,,,,
13-07-2022,3900,3944,3870,3883.350098,3883.350098,423704,,,,
14-07-2022,3913.899902,3944,3884,3924.850098,3924.850098,372526,,,,
15-07-2022,3925,3939.899902,3888,3926.800049,3926.800049,194371,,,,
18-07-2022,3951,3968,3920,3945.75,3945.75,287481,,,,
19-07-2022,3911,3942,3911,3931.300049,3931.300049,169004,,,,
20-07-2022,3960,3965,3902,3915.449951,3915.449951,251615,,,,
21-07-2022,3930,4059,3920.050049,4035.350098,4035.350098,587934,,,,
22-07-2022,4070,4077.899902,3950,3963.399902,3963.399902,457904,,,,
25-07-2022,3973,4050,3935,4040.050049,4040.050049,444451,,,,
26-07-2022,4038,4038,3909,3932.399902,3932.399902,430993,,,,
27-07-2022,3940,4010,3920,4000.949951,4000.949951,245970,,,,
28-07-2022,4020,4164,4001,4147.799805,4147.799805,725281,,,,
29-07-2022,4215,4250,4183.450195,4243.850098,4243.850098,514745,,,,
01-08-2022,4251.950195,4317,4246.5,4307.649902,4307.649902,399725,,,,
02-08-2022,4306,4306,4235.049805,4259.100098,4259.100098,311279,,,,
03-08-2022,4251,4298,4180.100098,4253.149902,4253.149902,289000,,,,
04-08-2022,4268,4314.899902,4175,4239.100098,4239.100098,593274,,,,
05-08-2022,4238,4295,4187.149902,4232.25,4232.25,528876,,,,
08-08-2022,4237.399902,4267.399902,4233,4250.049805,4250.049805,200014,,,,
10-08-2022,4250.049805,4278.950195,4219.850098,4250.700195,4250.700195,238239,,,,
11-08-2022,4280,4295,4260,4274.850098,4274.850098,246094,,,,
12-08-2022,4274.850098,4387,4255,4336.700195,4336.700195,448303,,,,
16-08-2022,4355,4412,4350.549805,4402.100098,4402.100098,290414,,,,
17-08-2022,4422,4438,4370,4398.649902,4398.649902,316826,,,,
18-08-2022,4425,4493.100098,4401.049805,4460.950195,4460.950195,468551,,,,
19-08-2022,4487,4523.5,4352.75,4382,4382,437762,,,,
22-08-2022,4371,4371,4231,4250.75,4250.75,330916,,,,
23-08-2022,4195,4301,4170.549805,4256.950195,4256.950195,285843,,,,
24-08-2022,4269,4356,4266,4304.25,4304.25,270843,,,,
25-08-2022,4339.899902,4394,4312.049805,4341.25,4341.25,246543,,,,
26-08-2022,4384,4414.5,4370.049805,4409.649902,4409.649902,202948,,,,
29-08-2022,4270,4450,4270,4431.549805,4431.549805,352554,,,,
30-08-2022,4475,4550,4460.299805,4531.350098,4531.350098,426171,,,,
01-09-2022,4494,4599.399902,4462,4565.850098,4565.850098,431835,,,,
02-09-2022,4572.899902,4609,4511,4576.799805,4576.799805,268702,,,,
05-09-2022,4584.799805,4606.149902,4550,4577.450195,4577.450195,216543,,,,
06-09-2022,4599,4603.950195,4531,4557.100098,4557.100098,258981,,,,
07-09-2022,4532,4548,4402.299805,4426.299805,4426.299805,322460,,,,
08-09-2022,4499,4499,4390,4406.049805,4406.049805,214781,,,,
09-09-2022,4448.549805,4448.549805,4370,4386.100098,4386.100098,210596,,,,
12-09-2022,4440,4475,4400,4443.950195,4443.950195,252381,,,,
13-09-2022,4470,4510,4447.799805,4493.25,4493.25,293076,,,,
14-09-2022,4450,4518,4426.149902,4478.25,4478.25,268511,,,,
15-09-2022,4499,4539,4475,4525.850098,4525.850098,221683,,,,
16-09-2022,4528.899902,4550,4285.399902,4327.549805,4327.549805,584163,,,,
19-09-2022,4340,4417.200195,4271.25,4348,4348,235756,,,,
20-09-2022,4401.100098,4412,4330,4349.299805,4349.299805,203661,,,,
21-09-2022,4349,4394.950195,4292.049805,4308.700195,4308.700195,223827,,,,
22-09-2022,4288.75,4440.600098,4257,4431.700195,4431.700195,465230,,,,
23-09-2022,4450,4469.899902,4351,4367,4367,241647,,,,
26-09-2022,4323,4448,4261,4375.299805,4375.299805,403076,,,,
27-09-2022,4375.299805,4417.5,4270,4283.200195,4283.200195,237462,,,,
28-09-2022,4249,4367.950195,4240,4318.149902,4318.149902,352261,,,,
29-09-2022,4365,4416.950195,4220.100098,4240.549805,4240.549805,518364,,,,
30-09-2022,4270,4400,4251.200195,4386.549805,4386.549805,352698,,,,
03-10-2022,4399,4465.850098,4389.799805,4443.75,4443.75,296102,,,,
04-10-2022,4600,4600,4460.549805,4479.549805,4479.549805,605857,,,,
06-10-2022,4540,4540,4400,4413.850098,4413.850098,326251,,,,
07-10-2022,4435.950195,4482,4411.25,4471.450195,4471.450195,213203,,,,
10-10-2022,4440.100098,4495,4406.049805,4471.75,4471.75,183914,,,,
11-10-2022,4485,4486,4358.5,4381.100098,4381.100098,268072,,,,
12-10-2022,4398.75,4429,4330,4352.899902,4352.899902,207335,,,,
13-10-2022,4366,4366,4300.100098,4309.950195,4309.950195,171144,,,,
14-10-2022,4398.5,4399,4291.149902,4306.149902,4306.149902,188039,,,,
17-10-2022,4283.950195,4307.950195,4140.049805,4153.450195,4153.450195,950223,,,,
18-10-2022,4188,4189,4110,4139.350098,4139.350098,346218,,,,
19-10-2022,4168,4194.100098,4139.350098,4167.850098,4167.850098,266990,,,,
20-10-2022,4155,4233,4140.450195,4226.25,4226.25,292757,,,,
21-10-2022,4244,4249.75,4190.5,4215.549805,4215.549805,184554,,,,
24-10-2022,4271.899902,4273,4210,4229.950195,4229.950195,71402,,,,
25-10-2022,4221,4249.5,4165,4235.600098,4235.600098,160107,,,,
27-10-2022,4248,4300,4217.299805,4271.399902,4271.399902,301435,,,,
28-10-2022,4281.399902,4320,4251.549805,4307.350098,4307.350098,120314,,,,
31-10-2022,4316.5,4348,4290,4320.899902,4320.899902,186409,,,,
01-11-2022,4329,4347.100098,4232.549805,4247.5,4247.5,249229,,,,
02-11-2022,4264.799805,4268,4177,4193.649902,4193.649902,254614,,,,
03-11-2022,4180,4230,4165,4194.200195,4194.200195,153178,,,,
04-11-2022,4200,4207.950195,4150,4167.350098,4167.350098,532072,,,,
07-11-2022,4188.799805,4214.100098,4140.5,4173.5,4173.5,395435,,,,
09-11-2022,4199,4199,4118,4158.700195,4158.700195,361585,,,,
10-11-2022,4158.700195,4175,4104.399902,4138.850098,4138.850098,254477,,,,
11-11-2022,4159.549805,4169,4117.049805,4128.350098,4128.350098,214392,,,,
14-11-2022,4144.799805,4144.799805,4081.800049,4098.350098,4098.350098,300509,,,,
15-11-2022,4082,4109.799805,4046,4053.800049,4053.800049,496893,,,,
16-11-2022,4053.800049,4059.949951,4003.149902,4011.699951,4011.699951,290474,,,,
17-11-2022,4000,4009.949951,3940,3949.199951,3949.199951,365371,,,,
18-11-2022,3968.899902,4020,3890.050049,3910.600098,3910.600098,402297,,,,
21-11-2022,3923,3936,3871.050049,3882.300049,3882.300049,204061,,,,
22-11-2022,3884.949951,4026,3883,3955.199951,3955.199951,504844,,,,
23-11-2022,3975,3998.600098,3934.25,3954.75,3954.75,182631,,,,
24-11-2022,3974.350098,3994.75,3951.100098,3968.050049,3968.050049,155797,,,,
25-11-2022,3969,3977.050049,3901,3904.449951,3904.449951,291850,,,,
28-11-2022,3913.399902,3934,3890,3907.699951,3907.699951,228975,,,,
29-11-2022,3907,3977.550049,3898,3965.100098,3965.100098,344369,,,,
30-11-2022,3975,4040,3955,4025.5,4025.5,604666,,,,
01-12-2022,4041,4064,4032.100098,4044.149902,4044.149902,255279,,,,
02-12-2022,4049,4055,3992.550049,4005.75,4005.75,222148,,,,
05-12-2022,4010,4049.949951,3975,4028.149902,4028.149902,217716,,,,
06-12-2022,4018,4094,3995,4063.399902,4063.399902,224614,,,,
07-12-2022,4080,4100,4045.149902,4083.149902,4083.149902,257217,,,,
08-12-2022,4090,4090,4015.399902,4037.199951,4037.199951,177556,,,,
09-12-2022,4054.899902,4057.75,3983.399902,4002.399902,4002.399902,265654,,,,
12-12-2022,3980,4074,3948,4057.350098,4057.350098,242444,,,,
13-12-2022,4060,4120,4060,4108.950195,4108.950195,275766,,,,
14-12-2022,4089.100098,4209.850098,4089.100098,4201.100098,4201.100098,545140,,,,
15-12-2022,4209,4228.950195,4151,4182,4182,312108,,,,
16-12-2022,4140.649902,4150.5,3956,3990,3990,380722,,,,
19-12-2022,4020,4099.899902,4000,4090.199951,4090.199951,300724,,,,
20-12-2022,4088,4138.600098,4052.149902,4089.550049,4089.550049,217791,,,,
21-12-2022,4094,4109.950195,3975.149902,3993.199951,3993.199951,252192,,,,
22-12-2022,4008,4029,3905.5,3921.550049,3921.550049,283003,,,,
23-12-2022,3896.550049,3911.75,3835,3875.600098,3875.600098,255257,,,,
26-12-2022,3896,4049,3871,4036.600098,4036.600098,205540,,,,
27-12-2022,4060,4094,4005,4074.600098,4074.600098,168072,,,,
28-12-2022,4077.949951,4077.949951,4007.399902,4017.75,4017.75,130503,,,,
29-12-2022,4003.149902,4207.950195,3971.800049,4178.299805,4178.299805,475188,,,,
30-12-2022,4178,4195,4025.149902,4068.75,4068.75,387431,,,,
02-01-2023,4075,4117.950195,4055,4072.75,4072.75,119118,,,,
03-01-2023,4072.75,4099,4044,4060.899902,4060.899902,114013,,,,
04-01-2023,4049.949951,4049.949951,3916,3924.199951,3924.199951,740436,,,,
05-01-2023,3955,3964,3845.5,3857.800049,3857.800049,483903,,,,
06-01-2023,3870,3930,3835,3842.5,3842.5,345746,,,,
09-01-2023,3905.800049,3915,3855.550049,3879.550049,3879.550049,280205,,,,
10-01-2023,3898,3919.449951,3861,3877.399902,3877.399902,357855,,,,
11-01-2023,3896,3910,3860,3872.899902,3872.899902,156403,,,,
12-01-2023,3892,3925.5,3863,3911.800049,3911.800049,212520,,,,
13-01-2023,3925,3929.649902,3850.100098,3863.699951,3863.699951,283280,,,,
16-01-2023,3690,3748,3645.199951,3678.350098,3678.350098,1809273,,,,
17-01-2023,3681.050049,3733.850098,3675,3689.800049,3689.800049,463947,,,,
18-01-2023,3708.25,3720,3641.5,3648.600098,3648.600098,407988,,,,
19-01-2023,3647,3647.800049,3560,3565.100098,3565.100098,583389,,,,
20-01-2023,3571.949951,3580,3510,3513.75,3513.75,522635,,,,
23-01-2023,3525,3529.75,3425,3434,3434,892606,,,,
24-01-2023,3450,3578,3441,3513.5,3513.5,768031,,,,
25-01-2023,3531.100098,3554.5,3507.300049,3515.100098,3515.100098,474769,,,,
27-01-2023,3532.699951,3584,3518.5,3562.350098,3562.350098,308090,,,,
30-01-2023,3574.899902,3575,3486.050049,3546.300049,3546.300049,272767,,,,
31-01-2023,3555.050049,3582.149902,3492.649902,3502.300049,3502.300049,537429,,,,
01-02-2023,3558,3580,3469.699951,3551.350098,3551.350098,361698,,,,
02-02-2023,3547,3577.800049,3485,3502.899902,3502.899902,222692,,,,
03-02-2023,3517.649902,3522.899902,3465,3470.350098,3470.350098,322648,,,,
06-02-2023,3476.5,3488.399902,3432,3441.5,3441.5,314363,,,,
07-02-2023,3471.5,3475,3438.949951,3440.899902,3440.899902,369288,,,,
08-02-2023,3449,3510,3446.050049,3458.600098,3458.600098,217382,,,,
09-02-2023,3469.649902,3544.149902,3465.149902,3482.050049,3482.050049,372567,,,,
10-02-2023,3499.5,3544.25,3490.600098,3498.850098,3498.850098,393156,,,,
13-02-2023,3502,3510,3483,3495.199951,3495.199951,252484,,,,
14-02-2023,3509,3512,3472,3482.699951,3482.699951,496970,,,,
15-02-2023,3480,3568.649902,3464.300049,3545.600098,3545.600098,211636,,,,
16-02-2023,3546,3567.949951,3535,3541.699951,3541.699951,315147,,,,
17-02-2023,3530,3567.699951,3515,3545,3545,202556,,,,
